city,industry,startup_count,funding_crore
Agra,E-Commerce,2,0.0
Ahmedabad,AgriTech,1,8.0
Ahmedabad,Cloud Tech,1,0.83
Ahmedabad,Communication,1,0.0
Ahmedabad,Consumer Internet,9,20.65
Ahmedabad,E-Commerce,7,153.85999999999999
Ahmedabad,EdTech,1,3.0
Ahmedabad,Education,1,3.3
Ahmedabad,Entertainment,1,0.0
Ahmedabad,Event Management,1,623.0
Ahmedabad,FinTech,3,1519.43
Ahmedabad,Food,3,2.48
Ahmedabad,Healthcare,2,148.0
Ahmedabad,Logistics,2,6.1499999999999995
Ahmedabad,Marketing,1,2.53
Ahmedabad,Media,2,124.0
Ahmedabad,Personal Care,2,31.6
Ahmedabad,Pet Care,1,16.0
Ahmedabad,SaaS,2,1265.0
Ahmedabad,Technology,6,84.98
Alleppey,Households,1,222.2
Alwar,Food,1,0.0
Amritsar,Transportation,1,2.48
Anand,Healthcare,1,0.0
Andheri,E-Commerce,1,166.0
Andheri,Finance,1,13.13
Azadpur,Careers,1,0.0
Bangaluru,Finance,2,13.0
Bangaluru,Software,1,0.0
Bangaluru,Technology,1,0.0
Belgaum,Delivery,1,12.0
Belgaum,Food,1,498.0
Belgaum,Technology,1,4.13
Bengaluru,AI,32,2087.69
Bengaluru,Aerospace,4,426.28
Bengaluru,AgriTech,12,9976.03
Bengaluru,Agriculture,4,435.21
Bengaluru,Automotive,8,820.27
Bengaluru,B2B,6,9544.77
Bengaluru,Banking,2,123.75
Bengaluru,BioTech,5,1402.9
Bengaluru,Careers,9,775.88
Bengaluru,Charity,1,2.6
Bengaluru,Cloud Tech,6,274.28999999999996
Bengaluru,Communication,3,13.83
Bengaluru,Construction,2,178.0
Bengaluru,Consumer Internet,163,4282.78
Bengaluru,Content Creation,1,5.0
Bengaluru,Cybersecurity,1,41.0
Bengaluru,Data Analytics,9,1112.6399999999999
Bengaluru,Delivery,9,3470.19
Bengaluru,Design,5,3831.4700000000003
Bengaluru,E-Commerce,84,40496.82
Bengaluru,EV,1,834.5
Bengaluru,EdTech,46,43748.92
Bengaluru,Education,12,315.13
Bengaluru,Electronics,4,125.5
Bengaluru,Energy,4,342.95
Bengaluru,Entertainment,17,11556.37
Bengaluru,Event Management,3,54.0
Bengaluru,FinTech,73,26352.48
Bengaluru,Finance,31,7754.49
Bengaluru,Food,34,14592.25
Bengaluru,Gig Economy,1,7.0
Bengaluru,Healthcare,73,10519.23
Bengaluru,Home & Lifestyle,1,24.75
Bengaluru,Hospitality,7,264.65999999999997
Bengaluru,Households,4,1985.03
Bengaluru,IT,11,539.71
Bengaluru,Internet,3,15.29
Bengaluru,IoT,1,77.0
Bengaluru,Log Management,1,1574.0
Bengaluru,Logistics,15,7613.55
Bengaluru,Manufacturing,3,198.25
Bengaluru,Marketing,9,3003.44
Bengaluru,Media,14,1005.31
Bengaluru,Personal Care,4,176.51
Bengaluru,Real Estate,12,1172.52
Bengaluru,Robotics,2,107.13
Bengaluru,SaaS,6,713.06
Bengaluru,Services,20,1287.2
Bengaluru,Social Media,7,4856.95
Bengaluru,Software,13,3635.29
Bengaluru,Sports,4,932.88
Bengaluru,Technology,158,6017.53
Bengaluru,Transportation,18,22895.1
Bengaluru,Travel,14,228.42
Bhopal,AI,1,0.15
Bhopal,E-Commerce,1,3.55
Bhopal,EdTech,1,0.0
Bhopal,Education,2,9.03
Bhopal,Food,1,14.85
Bhopal,Technology,1,0.0
Bhubaneswar,Finance,1,189.75
Bhubaneswar,Food,1,82.0
Bhubaneswar,Healthcare,1,0.0
Chandigarh,Consumer Internet,1,0.0
Chandigarh,E-Commerce,2,0.0
Chandigarh,EdTech,1,17.0
Chandigarh,Electronics,1,0.0
Chandigarh,FinTech,2,0.0
Chandigarh,Food,1,0.0
Chandigarh,Healthcare,2,173.25
Chandigarh,Technology,1,0.83
Chandigarh,Transportation,1,214.5
Chembur,EdTech,1,2.64
Chennai,AI,4,448.47
Chennai,Aerospace,2,26.0
Chennai,AgriTech,3,537.28
Chennai,Automotive,3,174.54
Chennai,Cloud Tech,4,136.0
Chennai,Consumer Internet,15,601.4
Chennai,Data Analytics,2,0.0
Chennai,Delivery,1,12.52
Chennai,Design,1,8.0
Chennai,E-Commerce,8,230.54000000000002
Chennai,EdTech,6,4282.42
Chennai,Education,5,66.02000000000001
Chennai,Entertainment,1,91.0
Chennai,FinTech,15,3465.7
Chennai,Finance,9,3459.7799999999997
Chennai,Food,4,658.54
Chennai,Healthcare,9,1252.75
Chennai,Internet,1,42.9
Chennai,IoT,1,0.55
Chennai,Logistics,2,103.45
Chennai,Marketing,1,58.0
Chennai,Personal Care,6,654.34
Chennai,SaaS,1,0.0
Chennai,Services,1,231.0
Chennai,Social Media,1,830.0
Chennai,Software,3,1361.25
Chennai,Technology,25,1638.31
Cochin,AI,1,0.0
Cochin,Healthcare,1,25.0
Coimbatore,E-Commerce,1,3.71
Coimbatore,Electronics,1,2.5
Coimbatore,Food,1,16.5
Coimbatore,Personal Care,1,5.0
Coimbatore,Technology,1,2.54
Coimbatore,Transportation,2,9.9
Delhi,AI,1,0.0
Delhi,AgriTech,3,75.0
Delhi,Automotive,3,33.8
Delhi,B2B,1,0.0
Delhi,BioTech,2,0.0
Delhi,Careers,5,49.0
Delhi,Cloud Tech,3,371.25
Delhi,Construction Tech,1,1.0
Delhi,Consumer Internet,107,2505.7799999999997
Delhi,Cybersecurity,1,50.5
Delhi,Data Analytics,3,0.0
Delhi,Dating,1,45.38
Delhi,Delivery,5,12.200000000000001
Delhi,Design,1,0.0
Delhi,E-Commerce,51,10153.48
Delhi,EV,1,0.0
Delhi,EdTech,25,541.28
Delhi,Education,10,340.5
Delhi,Electronics,2,51.15
Delhi,Energy,2,1870.5
Delhi,Entertainment,10,4991.0
Delhi,FinTech,18,4723.0599999999995
Delhi,Finance,18,1863.69
Delhi,Food,25,8319.720000000001
Delhi,HR Tech,1,415.0
