funding_round,startup_count,funding_crore
Private Equity,992,195090.59
Series C,25,16958.15
Series D,13,13645.8
Series H,2,11237.5
Series B,38,9443.26
Venture - Series Unknown,38,5817.21
Seed Funding,1261,4740.95
Series A,91,4416.62
Post-IPO Equity,3,3688.5
Debt Financing,13,3468.84
Corporate Round,10,3163.06
Series E,6,2723.85
Seed,284,2536.47
Secondary Market,3,2347.0
Series G,1,1905.75
Seed Round,7,1615.3600000000001
Debt Funding,21,1174.18
Single Venture,1,1155.0
Equity,2,833.25
Seed / Angle Funding,3,827.57
Series F,2,742.5
Post-IPO Debt,2,700.0
Seed/ Angel Funding,56,628.82
Funding Round,2,587.5
Seed / Angel Funding,39,263.8
Equity Based Funding,1,255.75
pre-Series A,2,235.13
Venture Round,2,165.0
Private,1,129.53
PrivateEquity,1,123.75
Private Funding,1,121.11
Debt,1,118.32
Angel,38,112.5
Structured Debt,1,70.95
Seed/Angel Funding,20,58.0
Debt and Preference capital,1,52.15
Term Loan,1,51.48
Series B (Extension),1,49.5
Pre-Series A,3,44.32
Debt-Funding,1,41.25
pre-series A,1,41.25
Maiden Round,1,37.13
Pre-series A,1,24.75
Grant,4,20.86
https://docs.google.com/spreadsheets/d/1x9ziNeaz6auNChIHnMI8U6kS7knTr3byy_YBGfQaoUA/edit#gid=1861303593,1,20.2
Inhouse Funding,1,20.16
Angel / Seed Funding,8,11.02
Series J,1,8.25
Mezzanine,1,8.25
Angel Round,1,2.64
Pre-Seed,6,1.74
Crowd funding,1,1.03
Non-equity Assistance,1,0.4
Crowd Funding,1,0.25
Seed funding,1,0.0
Venture,1,0.0
Bridge Round,1,0.0
Pre Series A,1,0.0
Angel Funding,1,0.0
