city,startup_count,funding_crore,industry_count,investor_count,growth,startup_score,funding_score,industry_score,investor_score,growth_score,hotspot_score,rank
Bengaluru,972,253827.8,54,1120,0,1.0,1.0,1.0,1.0,1,100.0,1
Mumbai,638,122133.83,49,686,0,0.6560247167868177,0.48116805960576425,0.9056603773584906,0.6125,1,68.83,2
Delhi,498,47792.6,47,488,0,0.5118434603501545,0.1882874925441579,0.8679245283018868,0.4357142857142857,1,53.38,3
Gurugram,368,85849.09999999999,44,479,0,0.3779608650875386,0.33821787841993667,0.8113207547169812,0.4276785714285714,1,52.93,4
Chennai,131,20370.76,27,150,0,0.13388259526261587,0.08025425111039847,0.49056603773584906,0.13392857142857142,1,30.12,5
Pune,136,13240.93,26,145,0,0.13903192584963955,0.05216501108231644,0.4716981132075472,0.12946428571428573,1,29.11,6
Noida,112,11011.32,30,124,0,0.11431513903192585,0.043381063855101765,0.5471698113207547,0.11071428571428571,1,29.05,7
Hyderabad,131,10072.53,28,118,0,0.13388259526261587,0.03968253280373545,0.5094339622641509,0.10535714285714286,1,28.9,8
Ahmedabad,47,4012.81,19,53,0,0.04737384140061792,0.015809182445736834,0.33962264150943394,0.04732142857142857,1,22.46,9
Jaipur,45,6952.7,18,45,0,0.04531410916580844,0.027391404723990043,0.32075471698113206,0.04017857142857143,1,22.39,10
Kolkata,36,6164.34,16,32,0,0.03604531410916581,0.024285519553019805,0.2830188679245283,0.02857142857142857,1,21.34,11
Indore,18,536.64,11,19,0,0.017507723995880537,0.002114189225924032,0.18867924528301888,0.016964285714285713,1,18.59,12
Haryana,9,5444.780000000001,9,3,0,0.008238928939237899,0.02145068428280906,0.1509433962264151,0.0026785714285714286,1,18.18,13
Chandigarh,12,405.58,9,15,0,0.01132852729145211,0.0015978549236923614,0.1509433962264151,0.013392857142857142,1,17.79,14
Thane,5,7921.68,5,6,0,0.004119464469618949,0.031208874678029755,0.07547169811320754,0.005357142857142857,1,17.25,15
Goa,10,63.64,7,12,0,0.009268795056642637,0.00025072115820252945,0.11320754716981132,0.010714285714285714,1,17.09,16
Kochi,9,239.65,7,8,0,0.008238928939237899,0.0009441440220495943,0.11320754716981132,0.007142857142857143,1,17.05,17
Vadodara,11,64.14,6,13,0,0.010298661174047374,0.0002526909975975839,0.09433962264150944,0.011607142857142858,1,16.85,18
Jodhpur,3,8493.32,3,5,0,0.0020597322348094747,0.0334609526616076,0.03773584905660377,0.004464285714285714,1,16.68,19
Coimbatore,7,40.15,6,6,0,0.006179196704428424,0.00015817810342287172,0.09433962264150944,0.005357142857142857,1,16.66,20
Bhopal,6,27.58,6,4,0,0.005149330587023687,0.00010865634103120304,0.09433962264150944,0.0035714285714285713,1,16.61,21
Kanpur,6,44.82,4,5,0,0.005149330587023687,0.00017657640337268024,0.05660377358490566,0.004464285714285714,1,16.05,22
Belgaum,3,514.13,3,2,0,0.0020597322348094747,0.002025507056358681,0.03773584905660377,0.0017857142857142857,1,15.71,23
