industry,startup_count,funding_crore
E-Commerce,311,81051.86
FinTech,200,65201.83
EdTech,135,60621.52
Food,154,49406.01
Finance,133,42041.52
AgriTech,50,31339.65
Technology,467,30308.68
Healthcare,239,27395.37
Transportation,55,25149.28
Consumer Internet,582,22254.54
Logistics,76,21047.27
Entertainment,50,20331.58
Services,57,18578.77
Automotive,31,10115.17
B2B,14,9958.51
Energy,16,8076.0599999999995
Hospitality,20,7309.5
Social Media,17,6863.51
Software,26,5803.54
SaaS,18,5720.12
Sports,18,5054.51
Personal Care,68,4667.65
Education,57,4117.15
Airlines,1,4000.0
Delivery,28,3964.34
IT,27,3956.92
AI,64,3939.68
Design,10,3923.14
Careers,20,3649.0299999999997
Marketing,38,3479.21
Households,14,3108.21
Real Estate,35,1833.82
Media,51,1832.02
Data Analytics,28,1598.05
Log Management,1,1574.0
BioTech,8,1402.9
Travel,37,1283.8
EV,6,836.5
Cloud Tech,15,782.37
Electronics,10,760.15
Event Management,9,696.7199999999999
HR Tech,5,662.0
Crowdfunding,2,643.13
Manufacturing,4,518.25
Aerospace,7,452.28
Agriculture,6,435.21
Content Creation,2,420.0
Fintech,1,403.43
Retail,1,376.8
Robotics,3,273.13
Construction,3,220.0
Waste Management,4,215.82
Internet,12,130.88
Cybersecurity,5,128.94
Banking,4,124.25
IoT,9,105.03999999999999
Gig Economy,3,98.0
Pet Care,2,82.0
Communication,6,49.83
Dating,2,46.38
Networking,3,36.44
Consulting,1,36.03
Home & Lifestyle,1,24.75
Lifestyle,2,17.74
Water Solutions,1,9.9
Charity,1,2.6
Construction Tech,1,1.0
Consumer Goods,3,0.0
